epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5662,1.40899,2.97971,1.15002,0.4,0.27778,0.32172,0.28955,0.95594,2.43833,1.44981,0.0670825,0.0003325,0.0003325
2,43.4008,1.34392,2.21035,1.13574,0.47242,0.5,0.50881,0.4911,0.80337,2.19146,1.21866,0.0340803,0.000663636,0.000663636
3,64.1239,1.26765,1.84882,1.11179,0.63671,0.5,0.53917,0.51842,0.73204,1.74461,1.1994,0.00107591,0.000992572,0.000992572
4,85.202,1.21468,1.61049,1.09427,0.98544,0.5,0.53917,0.506,0.78807,1.96956,1.23421,0.0009901,0.0009901,0.0009901
5,107.339,1.17761,1.4495,1.0924,0.70715,0.83333,0.75294,0.62092,0.80547,1.74169,1.23085,0.0009868,0.0009868,0.0009868
6,129.106,1.13873,1.28587,1.07155,0.96221,0.72222,0.81693,0.80585,0.60851,1.01509,1.07121,0.0009835,0.0009835,0.0009835
7,150.502,1.1121,1.17559,1.0582,0.93001,0.72222,0.84,0.80207,0.69713,1.31996,1.10553,0.0009802,0.0009802,0.0009802
8,171.419,1.09962,1.11567,1.05511,0.87903,0.8243,0.87083,0.82001,0.87453,1.35431,1.40096,0.0009769,0.0009769,0.0009769
9,192.606,1.06828,1.05191,1.04027,0.92762,0.72222,0.82683,0.76688,0.79473,1.80416,1.18102,0.0009736,0.0009736,0.0009736
10,213.757,1.04984,1.00472,1.03691,0.79276,0.72222,0.78407,0.77301,0.55307,1.05256,1.03255,0.0009703,0.0009703,0.0009703
11,234.946,1.05669,0.97799,1.03357,0.94718,0.83333,0.87083,0.79068,0.86707,1.29144,1.26465,0.000967,0.000967,0.000967
12,256.474,1.03692,0.95922,1.02382,0.98869,0.72222,0.88583,0.8308,0.76081,1.06414,1.11373,0.0009637,0.0009637,0.0009637
13,278.166,1.01397,0.91219,1.0238,1,0.82481,0.91333,0.81657,0.66703,0.99464,1.11422,0.0009604,0.0009604,0.0009604
14,299.744,1.02992,0.92251,1.03095,1,0.82865,0.91333,0.86169,0.71804,0.9934,1.11362,0.0009571,0.0009571,0.0009571
15,320.905,1.00857,0.87484,1.01504,1,0.72222,0.85943,0.84277,0.72683,0.77189,1.15175,0.0009538,0.0009538,0.0009538
16,342.566,1.00177,0.86659,1.01364,0.91009,0.82326,0.84958,0.77539,0.73847,1.14163,1.10701,0.0009505,0.0009505,0.0009505
17,364.217,1.00679,0.85374,1.01029,0.99939,0.91353,0.995,0.83247,0.84055,0.78063,1.13516,0.0009472,0.0009472,0.0009472
18,385.897,1.00978,0.85482,1.01291,0.96651,0.73262,0.87083,0.81323,0.61875,1.02205,1.18527,0.0009439,0.0009439,0.0009439
19,407.587,0.97492,0.82483,1.00696,1,0.83333,0.91333,0.86766,0.77306,0.87531,1.29432,0.0009406,0.0009406,0.0009406
20,429.343,0.98748,0.81921,1.0035,1,0.8276,0.91333,0.87236,0.56539,0.80632,1.03922,0.0009373,0.0009373,0.0009373
21,450.929,0.96596,0.8131,1.00003,0.96552,0.83333,0.91333,0.86169,0.64702,0.87908,1.12057,0.000934,0.000934,0.000934
22,472.629,0.974,0.81782,0.99473,0.96945,0.83333,0.91333,0.86394,0.54014,1.14985,1.03749,0.0009307,0.0009307,0.0009307
23,494.255,0.95954,0.79991,0.99095,1,0.72222,0.85943,0.84835,0.54915,0.7235,1.02382,0.0009274,0.0009274,0.0009274
24,516.114,0.95331,0.77816,0.99212,0.92674,0.77293,0.87083,0.82705,0.67904,1.02536,1.16705,0.0009241,0.0009241,0.0009241
25,537.417,0.94184,0.76601,0.99199,1,0.82995,0.91333,0.85558,0.71537,0.7884,1.26837,0.0009208,0.0009208,0.0009208
26,558.875,0.95078,0.76841,0.98898,0.99478,0.83333,0.91333,0.87771,0.56502,0.70561,1.06038,0.0009175,0.0009175,0.0009175
27,580.536,0.94847,0.74439,0.98356,1,0.8182,0.91333,0.88055,0.69437,0.82701,1.13628,0.0009142,0.0009142,0.0009142
28,602.225,0.93647,0.75375,0.99114,1,0.82829,0.91333,0.87225,0.53356,0.66036,1.04005,0.0009109,0.0009109,0.0009109
29,624.156,0.93908,0.75501,0.98557,0.9319,0.82393,0.87083,0.82518,0.4784,0.71652,0.98439,0.0009076,0.0009076,0.0009076
30,645.862,0.93202,0.73559,0.98428,0.92225,0.83333,0.87083,0.8017,0.53222,0.5808,0.94485,0.0009043,0.0009043,0.0009043
31,667.616,0.9237,0.73377,0.9808,0.99816,0.83333,0.91333,0.86393,0.61888,0.63179,1.06237,0.000901,0.000901,0.000901
32,689.201,0.92767,0.73769,0.98298,1,0.98827,0.995,0.85906,0.58416,0.58329,1.08245,0.0008977,0.0008977,0.0008977
33,710.78,0.93365,0.73641,0.97565,1,0.88889,0.9411,0.89143,0.47842,0.61085,0.96411,0.0008944,0.0008944,0.0008944
34,732.577,0.92553,0.73619,0.9845,0.98604,0.9348,0.995,0.81858,0.61324,0.55612,0.99969,0.0008911,0.0008911,0.0008911
35,754.508,0.91074,0.71688,0.97323,1,0.88889,0.9411,0.8251,0.58801,0.52474,1.09584,0.0008878,0.0008878,0.0008878
36,776.244,0.91577,0.70948,0.979,0.99619,0.83333,0.91333,0.88319,0.52692,0.74515,1.01316,0.0008845,0.0008845,0.0008845
37,798.166,0.91727,0.70375,0.9787,1,0.83014,0.91333,0.83355,0.53472,0.60367,0.98071,0.0008812,0.0008812,0.0008812
38,819.616,0.92385,0.70944,0.9805,1,1,0.995,0.90388,0.51959,0.43475,0.99848,0.0008779,0.0008779,0.0008779
39,841.311,0.9182,0.7158,0.97594,0.94361,0.73451,0.87083,0.78886,0.58161,0.69289,1.03246,0.0008746,0.0008746,0.0008746
40,863.692,0.88934,0.69143,0.96903,0.98549,0.96502,0.995,0.90014,0.55959,0.50005,1.0114,0.0008713,0.0008713,0.0008713
41,886.465,0.90257,0.69234,0.96937,1,0.99216,0.995,0.88772,0.56787,0.5141,1.08689,0.000868,0.000868,0.000868
42,908.778,0.89594,0.67662,0.96702,0.99509,0.83333,0.91333,0.8602,0.51706,0.65901,0.99916,0.0008647,0.0008647,0.0008647
43,930.568,0.8997,0.67331,0.96399,1,0.83333,0.91333,0.87324,0.62541,0.47737,1.06558,0.0008614,0.0008614,0.0008614
44,951.929,0.89018,0.68648,0.96772,1,0.83077,0.91333,0.86126,0.55815,0.60131,1.07287,0.0008581,0.0008581,0.0008581
45,973.225,0.88321,0.65363,0.95823,0.94773,0.82808,0.87083,0.82478,0.44765,0.87293,0.973,0.0008548,0.0008548,0.0008548
46,995.023,0.88331,0.67643,0.96666,1,0.81244,0.91333,0.86731,0.54356,0.74294,1.00871,0.0008515,0.0008515,0.0008515
47,1016.49,0.8927,0.67532,0.969,1,0.83333,0.91333,0.86251,0.48636,0.81576,1.023,0.0008482,0.0008482,0.0008482
48,1038.83,0.88786,0.66932,0.96251,0.92835,0.8241,0.87083,0.82144,0.55345,0.66528,1.03347,0.0008449,0.0008449,0.0008449
49,1061.47,0.89305,0.66533,0.96834,1,0.83333,0.91333,0.87492,0.61076,0.53057,1.1229,0.0008416,0.0008416,0.0008416
50,1083.71,0.88594,0.65901,0.96184,0.99466,0.83333,0.91333,0.86393,0.53798,0.79814,1.01954,0.0008383,0.0008383,0.0008383
51,1106.39,0.86216,0.66,0.96183,0.938,0.83333,0.87083,0.82516,0.66875,0.56488,1.14766,0.000835,0.000835,0.000835
52,1128.95,0.88232,0.67997,0.96421,0.79762,0.83326,0.85667,0.81099,0.49637,0.82266,1.07404,0.0008317,0.0008317,0.0008317
53,1151.84,0.87084,0.65312,0.95754,0.99826,0.83333,0.91333,0.85312,0.43875,0.64759,0.92252,0.0008284,0.0008284,0.0008284
54,1174.18,0.86521,0.64995,0.9539,0.99985,0.83333,0.91333,0.87476,0.46078,0.67011,0.97746,0.0008251,0.0008251,0.0008251
55,1196.29,0.87133,0.64933,0.95911,1,0.83333,0.91333,0.88429,0.43533,0.59819,0.93792,0.0008218,0.0008218,0.0008218
56,1218.71,0.86782,0.64585,0.95776,1,0.83333,0.91333,0.85525,0.42373,0.49105,0.95585,0.0008185,0.0008185,0.0008185
57,1241.03,0.86208,0.63346,0.95483,0.99674,0.83333,0.91333,0.87236,0.52019,0.51247,1.0808,0.0008152,0.0008152,0.0008152
58,1263.09,0.83874,0.63039,0.95122,0.97021,0.89913,0.995,0.87109,0.5198,0.68632,1.06506,0.0008119,0.0008119,0.0008119
59,1286.13,0.8606,0.64065,0.95432,1,1,0.995,0.87178,0.50664,0.56252,0.98507,0.0008086,0.0008086,0.0008086
60,1308.93,0.85731,0.63465,0.95693,0.99578,0.83333,0.91333,0.87236,0.435,0.4905,0.98665,0.0008053,0.0008053,0.0008053
61,1332.07,0.86883,0.64538,0.95896,1,0.80896,0.91333,0.85855,0.51012,0.8633,0.98608,0.000802,0.000802,0.000802
62,1355.44,0.85975,0.63875,0.9486,0.90627,0.83333,0.84958,0.80391,0.51689,0.51683,1.06832,0.0007987,0.0007987,0.0007987
63,1378.98,0.84649,0.62823,0.94961,0.90436,0.82333,0.84958,0.80837,0.4259,0.63979,1.02069,0.0007954,0.0007954,0.0007954
64,1402.48,0.85021,0.6289,0.94005,0.80556,1,0.93944,0.84037,0.55288,0.53897,1.12728,0.0007921,0.0007921,0.0007921
65,1426.26,0.82892,0.61721,0.94168,0.86797,0.8206,0.85667,0.82389,0.47857,0.68504,1.00439,0.0007888,0.0007888,0.0007888
66,1450.03,0.84968,0.62168,0.94819,1,0.88889,0.9411,0.83752,0.50192,0.46086,0.97384,0.0007855,0.0007855,0.0007855
67,1473.62,0.85652,0.61463,0.94726,0.8706,0.8221,0.87083,0.83453,0.40134,0.39661,0.92583,0.0007822,0.0007822,0.0007822
68,1497.35,0.82784,0.60016,0.94296,1,1,0.995,0.86241,0.56534,0.45448,1.07273,0.0007789,0.0007789,0.0007789
69,1520.93,0.8483,0.61935,0.94593,1,1,0.995,0.86967,0.53911,0.378,1.10175,0.0007756,0.0007756,0.0007756
