epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.894925,1.69188,3.94203,1.4381,0.00215,0.27778,0.01295,0.00525,0.89921,3.58981,1.3312,0.09901,1e-05,1e-05
2,1.24243,1.51946,3.93964,1.29685,0.00213,0.27778,0.00921,0.00316,0.88728,3.58955,1.32674,0.09703,2.99992e-05,2.99992e-05
3,1.57241,1.94007,4.05825,1.43395,0.00586,0.66667,0.05184,0.01464,1.52599,3.62675,1.63147,0.09505,4.99946e-05,4.99946e-05
4,1.97938,1.46367,3.65646,1.41735,0.00174,0.33333,0.04671,0.01051,2.01022,3.85658,1.94697,0.09307,6.99829e-05,6.99829e-05
5,2.39842,1.42198,3.43337,1.17531,0.00074,0.33333,0.04288,0.01286,3.20022,4.73902,3.10191,0.09109,8.99609e-05,8.99609e-05
6,2.78787,1.72939,3.18237,1.16313,0.00074,0.33333,0.0135,0.00315,2.30205,4.17898,2.26699,0.0891099,0.000109925,0.000109925
7,3.18532,1.38887,2.61731,1.10986,0.00074,0.33333,0.01644,0.00638,2.19826,6.7259,1.83926,0.0871299,0.000129873,0.000129873
8,3.55925,1.22109,2.12506,1.04617,0.00074,0.33333,0.01301,0.00509,2.36594,6.15683,1.93685,0.0851498,0.000149801,0.000149801
9,3.94381,1.28547,2.47551,1.13806,0.00074,0.33333,0.01618,0.00578,2.35104,5.44138,2.22916,0.0831697,0.000169705,0.000169705
10,4.30821,1.40913,2.61899,1.11227,0.00074,0.33333,0.02551,0.00938,2.13487,4.23809,2.09088,0.0811896,0.000189583,0.000189583
11,4.69971,1.43066,1.78641,1.14528,0.00074,0.33333,0.03902,0.01424,1.87962,3.94569,1.99149,0.0792094,0.000209431,0.000209431
12,5.06653,1.43117,1.73009,1.11405,0.00074,0.33333,0.0603,0.02196,1.56442,3.69004,1.72956,0.0772292,0.000229245,0.000229245
13,5.48927,1.31206,1.66388,1.03348,0.00074,0.33333,0.08833,0.02583,1.39274,3.61671,1.65275,0.075249,0.000249024,0.000249024
14,5.9113,1.22703,1.68365,1.00002,0.00074,0.33333,0.08292,0.04975,1.11834,3.54222,1.49284,0.0732688,0.000268763,0.000268763
15,6.29151,1.25192,1.54717,1.04401,0.00074,0.33333,0.09476,0.04416,1.21997,3.5345,1.29728,0.0712885,0.00028846,0.00028846
16,6.66604,1.14207,2.00733,1.04095,0.00074,0.33333,0.06506,0.02055,1.39725,3.52336,1.35303,0.0693081,0.000308111,0.000308111
17,7.0491,1.21206,1.67577,1.03457,0.33407,0.44444,0.27324,0.19364,1.43836,3.48432,1.45918,0.0673277,0.000327712,0.000327712
18,7.42693,1.23686,1.3219,0.99452,0.16741,0.44444,0.19065,0.14866,1.54999,3.53706,1.57895,0.0653473,0.000347262,0.000347262
19,7.78335,1.36864,1.43387,1.02762,0.16741,0.44444,0.19717,0.15117,1.6971,3.54099,1.65227,0.0633668,0.000366756,0.000366756
20,8.14673,1.0357,1.41503,1.01111,0.33408,0.77778,0.36994,0.21805,1.57872,3.44047,1.71481,0.0613862,0.000386191,0.000386191
21,8.52179,1.1276,1.23974,1.00878,0.30075,0.88889,0.37275,0.23014,1.3732,3.32455,1.53382,0.0594056,0.000405565,0.000405565
22,8.89112,1.20992,1.2602,1.04156,0.17853,0.88889,0.36875,0.23943,1.20347,3.29652,1.41662,0.0574249,0.000424874,0.000424874
23,9.30534,1.26788,1.18896,1.05104,0.2187,0.88889,0.35957,0.17132,1.40743,3.43394,1.57914,0.0554441,0.000444115,0.000444115
24,9.65853,1.16776,1.34258,1.04567,0.04242,0.55556,0.14169,0.09505,1.40733,3.5094,1.64478,0.0534633,0.000463284,0.000463284
25,10.0254,1.17602,1.08889,1.01212,0.03997,0.55556,0.09741,0.0701,1.54479,3.59194,1.79434,0.0514824,0.00048238,0.00048238
26,10.402,1.11293,1.40962,1.00838,0.0311,0.55556,0.09473,0.07313,1.60463,3.63729,1.81523,0.0495014,0.000501398,0.000501398
27,10.7859,1.04512,1.24411,0.98171,0.01896,0.55556,0.14761,0.08645,1.4627,3.64894,1.74824,0.0475203,0.000520336,0.000520336
28,11.1139,1.19274,1.24907,1.01413,0.01896,0.55556,0.14761,0.08645,1.4627,3.64894,1.74824,0.0455392,0.00053919,0.00053919
29,11.4761,1.27583,1.20768,1.08598,0.01492,0.55556,0.22106,0.15439,1.34482,3.52689,1.55304,0.043558,0.000557958,0.000557958
30,11.8489,1.41812,1.51544,1.07368,0.17532,0.72222,0.35168,0.29478,1.23534,3.30224,1.45919,0.0415766,0.000576636,0.000576636
31,12.2053,1.12316,1.05939,0.98624,0.17532,0.72222,0.35168,0.29478,1.23534,3.30224,1.45919,0.0395952,0.000595222,0.000595222
32,12.5746,1.2564,1.17532,0.99781,0.11663,0.72222,0.53975,0.47194,1.21454,3.11163,1.42591,0.0376137,0.000613712,0.000613712
33,12.946,1.08194,1.15128,0.99149,0.07073,0.72222,0.5449,0.47736,1.24223,2.97309,1.49632,0.0356321,0.000632103,0.000632103
34,13.2935,1.04964,1.17716,0.97616,0.07073,0.72222,0.5449,0.47736,1.24223,2.97309,1.49632,0.0336504,0.000650393,0.000650393
35,13.6737,1.21487,1.10327,0.93789,0.32493,0.61111,0.50207,0.46014,1.21965,2.74018,1.54855,0.0316686,0.000668579,0.000668579
36,14.0282,1.15696,1.00787,0.94698,0.68804,0.5,0.50741,0.48983,1.25669,2.65388,1.55499,0.0296867,0.000686657,0.000686657
37,14.364,1.00432,0.98375,0.94923,0.68804,0.5,0.50741,0.48983,1.25669,2.65388,1.55499,0.0277046,0.000704625,0.000704625
38,14.7238,1.10054,1.02227,0.9852,0.63873,0.5,0.58627,0.49785,1.1627,2.77149,1.50397,0.0257225,0.000722479,0.000722479
39,15.0915,1.08894,0.96233,0.99001,0.60166,0.5,0.55329,0.44563,1.08034,2.84975,1.39564,0.0237402,0.000740218,0.000740218
40,15.425,1.14274,1.02594,0.98234,0.60166,0.5,0.55329,0.44563,1.08034,2.84975,1.39564,0.0217578,0.000757838,0.000757838
41,15.764,1.19504,1.07097,1.00652,0.71152,0.5,0.54741,0.47847,1.15271,2.69951,1.43992,0.0197753,0.000775336,0.000775336
42,16.1162,1.16821,1.07829,1.01567,0.675,0.5,0.53849,0.43162,1.26165,2.61261,1.41521,0.0177927,0.00079271,0.00079271
43,16.4598,1.16346,1.1237,0.94548,0.675,0.5,0.53849,0.43162,1.26165,2.61261,1.41521,0.01581,0.000809956,0.000809956
44,16.8085,1.29945,1.30716,1.01525,0.95614,0.33333,0.52984,0.35714,1.15215,2.8449,1.36615,0.0138271,0.000827072,0.000827072
45,17.152,1.02666,1.04667,0.94752,0.95614,0.33333,0.52984,0.35714,1.15215,2.8449,1.36615,0.0118441,0.000844056,0.000844056
46,17.5174,1.20258,1.0226,1.01882,0.76737,0.33333,0.38975,0.19027,1.30505,4.01904,1.59142,0.0098609,0.000860904,0.000860904
47,17.8589,1.08804,1.04475,0.96369,0.76737,0.33333,0.38975,0.19027,1.30505,4.01904,1.59142,0.00787761,0.000877614,0.000877614
48,18.2125,1.06897,1.10106,0.96381,0.73833,0.33333,0.39138,0.2147,1.28161,4.46116,1.65436,0.00589418,0.000894183,0.000894183
49,18.5433,0.97615,0.97035,0.95836,0.73833,0.33333,0.39138,0.2147,1.28161,4.46116,1.65436,0.00391061,0.000910609,0.000910609
50,18.906,1.13461,1.06277,0.97682,0.89449,0.33333,0.43455,0.26297,1.26736,3.65832,1.53256,0.00192689,0.000926888,0.000926888
51,19.2414,1.10532,0.92326,0.98355,0.89449,0.33333,0.43455,0.26297,1.26736,3.65832,1.53256,0.000933683,0.000933683,0.000933683
52,19.5964,1.19772,1.06415,0.94646,0.9498,0.33333,0.54948,0.41868,1.34544,3.02063,1.48182,0.000931067,0.000931067,0.000931067
53,19.9324,1.0681,0.93391,0.94287,0.9498,0.33333,0.54948,0.41868,1.34544,3.02063,1.48182,0.000928405,0.000928405,0.000928405
54,20.302,1.05926,1.03391,0.97972,0.80574,0.5,0.5867,0.44861,1.30159,2.67014,1.38792,0.000925697,0.000925697,0.000925697
55,20.6423,1.06476,0.8297,0.97459,0.80574,0.5,0.5867,0.44861,1.30159,2.67014,1.38792,0.000922942,0.000922942,0.000922942
56,20.9996,1.0559,0.94864,0.94225,0.77741,0.5,0.59015,0.48865,1.1845,2.20886,1.33236,0.000920142,0.000920142,0.000920142
